Customer,Date,Product_weight,Product_price,Gender,Branch/Locker,Location,InvoiceId
SND960320,2022-09-01,4.24,10600.0,M,G-Location 5,Yerevan,INV-147
OMY701108,2022-09-01,6.97,55760.0,F,G-Location 4,Yerevan,INV-148
LHJ272066,2022-09-01,7.99,15980.0,F,G-Location 2,Yerevan,INV-149
BWL490393,2022-09-01,1.47,2940.0,F,G-Location 5,Yerevan,INV-150
NXV934669,2022-09-01,6.28,37680.0,M,G-Location 3,Yerevan,INV-151
UMF658350,2022-09-01,3.56,21360.0,M,G-Location 5,Yerevan,INV-152
SJZ770260,2022-09-01,5.62,44960.0,F,G-Location 2,Yerevan,INV-153
GRU684420,2022-09-01,6.82,13640.0,F,G-Location 3,Yerevan,INV-154
FEP452860,2022-09-01,3.25,21125.0,M,G-Location 4,Yerevan,INV-155
DSC601048,2022-09-01,2.87,17220.0,F,G-Location 2,Yerevan,INV-156
EDW126132,2022-09-01,5.37,13425.0,M,G-Location 3,Yerevan,INV-157
WYQ381586,2022-09-01,5.71,45680.0,M,G-Location 5,Yerevan,INV-158
SND960320,2022-09-01,7.54,49010.0,M,G-Location 1,Yerevan,INV-159
WBP761775,2022-09-01,1.36,3400.0000000000005,F,G-Location 5,Yerevan,INV-160
MVE929157,2022-09-01,2.29,5725.0,M,G-Location 5,Yerevan,INV-161
BEN757039,2022-09-01,2.59,14245.0,F,G-Location 3,Yerevan,INV-162
UEN796425,2022-09-01,4.81,12024.999999999998,F,G-Location 1,Yerevan,INV-163
SXD157361,2022-09-01,6.32,34760.0,F,G-Location 1,Garni,INV-164
PSR310193,2022-09-01,4.84,38720.0,F,G-Location 5,Yerevan,INV-165
CJS192563,2022-09-01,7.32,47580.0,F,G-Location 4,Yerevan,INV-166
DUT720889,2022-09-01,6.2,12400.0,F,G-Location 3,Yerevan,INV-167
WCA420364,2022-09-01,3.8,22800.0,M,G-Location 1,Yerevan,INV-168
ART275171,2022-09-01,7.26,43560.0,M,G-Location 4,Yerevan,INV-169
HAB911842,2022-09-01,2.56,15360.0,F,G-Location 1,Yerevan,INV-170
GPZ210346,2022-09-01,6.05,33275.0,M,G-Location 3,Yerevan,INV-171
VOK538308,2022-09-01,5.67,36855.0,F,G-Location 5,Yerevan,INV-172
YDG390661,2022-09-01,1.92,15360.0,F,G-Location 1,Yerevan,INV-173
SND960320,2022-09-01,2.3,13799.999999999998,M,G-Location 2,Yerevan,INV-174
BKB395414,2022-09-01,5.16,33540.0,M,G-Location 5,Yerevan,INV-175
NUP647263,2022-09-01,3.18,25440.0,F,G-Location 4,Yerevan,INV-176
LLL116049,2022-09-01,1.17,6435.0,M,G-Location 3,Yerevan,INV-177
RJJ383602,2022-09-01,1.28,3200.0,F,G-Location 3,Yerevan,INV-178
KNB410468,2022-09-01,2.58,12900.0,F,G-Location 2,Yerevan,INV-179
TPD228616,2022-09-01,7.25,58000.0,M,G-Location 4,Yerevan,INV-180
FAH624635,2022-09-01,6.12,48960.0,M,G-Location 5,Yerevan,INV-181
FKJ554720,2022-09-01,6.1,48800.0,F,G-Location 4,Yerevan,INV-182
WNI722942,2022-09-01,0.87,5220.0,M,G-Location 2,Yerevan,INV-183
YXS700863,2022-09-01,0.68,3740.000000000001,M,G-Location 5,Yerevan,INV-184
VDY688455,2022-09-01,2.26,5649.999999999999,F,G-Location 4,Yerevan,INV-185
ROR971417,2022-09-01,5.22,31320.0,M,G-Location 1,Yerevan,INV-186
MZT613863,2022-09-01,1.74,9570.0,F,G-Location 5,Yerevan,INV-187
TXB373754,2022-09-01,1.82,9100.0,F,G-Location 2,Yerevan,INV-188
XIO436440,2022-09-01,6.43,38580.0,M,G-Location 2,Yerevan,INV-189
RRL899652,2022-09-01,4.37,34960.0,F,G-Location 5,Yerevan,INV-190
PSX374322,2022-09-01,3.81,22860.0,F,G-Location 3,Yerevan,INV-191
MYW518465,2022-09-01,6.64,33200.0,M,G-Location 2,Yerevan,INV-192
XAQ694659,2022-09-01,7.84,39200.0,F,G-Location 5,Yerevan,INV-193
GMA134675,2022-09-01,6.0,33000.0,M,G-Location 1,Yerevan,INV-194
OPL180790,2022-09-01,5.9,32450.000000000004,M,G-Location 2,Yerevan,INV-195
TKI459457,2022-09-01,6.36,31800.0,F,G-Location 5,Yerevan,INV-196
AJT720127,2022-09-01,6.74,40440.0,M,G-Location 4,Yerevan,INV-197
HKT865055,2022-09-01,4.65,23250.0,F,G-Location 5,Yerevan,INV-198
TUK667894,2022-09-01,3.58,19690.0,F,G-Location 5,Yerevan,INV-199
KWB499087,2022-09-01,2.43,13365.0,M,G-Location 5,Yerevan,INV-200
HOK381960,2022-09-02,1.91,10505.0,M,G-Location 3,Yerevan,INV-201
FDN477686,2022-09-02,4.23,23265.000000000004,F,G-Location 5,Yerevan,INV-202
SFR682875,2022-09-02,3.29,19740.0,M,G-Location 2,Yerevan,INV-203
TDE159809,2022-09-02,3.42,8550.0,M,G-Location 3,Yerevan,INV-204
PIH339057,2022-09-02,5.47,32820.0,M,G-Location 1,Yerevan,INV-205
OIR987251,2022-09-02,4.57,25135.0,M,G-Location 1,Yerevan,INV-206
HKI409468,2022-09-02,6.25,34375.0,M,G-Location 5,Yerevan,INV-207
NRT112294,2022-09-02,0.36,900.0,M,G-Location 3,Yerevan,INV-208
VLW976735,2022-09-02,7.62,38100.0,F,G-Location 1,Yerevan,INV-209
LCZ741719,2022-09-02,0.21,1680.0,F,G-Location 4,Yerevan,INV-210
OVP343989,2022-09-02,0.42,2520.0,M,G-Location 4,Yerevan,INV-211
BXT166201,2022-09-02,7.69,46140.0,F,G-Location 2,Yerevan,INV-212
YRH231883,2022-09-02,4.69,28140.000000000004,F,G-Location 5,Yerevan,INV-213
YNW866090,2022-09-02,6.28,50240.0,M,G-Location 5,Yerevan,INV-214
DWD461553,2022-09-02,7.47,44820.0,M,G-Location 5,Yerevan,INV-215
AKI859017,2022-09-02,2.03,10149.999999999998,F,G-Location 3,Yerevan,INV-216
YKC215761,2022-09-02,7.64,49660.0,F,G-Location 5,Yerevan,INV-217
UQH566307,2022-09-02,6.25,37500.0,F,G-Location 4,Yerevan,INV-218
NUJ965098,2022-09-02,4.43,26580.0,M,G-Location 1,Yerevan,INV-219
WFN224098,2022-09-02,6.55,39300.0,M,G-Location 3,Yerevan,INV-220
NGN567431,2022-09-02,3.21,6420.0,M,G-Location 4,Yerevan,INV-221
OPL180790,2022-09-02,4.52,29380.0,F,G-Location 3,Yerevan,INV-222
RDP594310,2022-09-02,7.41,48165.0,M,G-Location 2,Yerevan,INV-223
MXQ470100,2022-09-02,1.1,5500.0,M,G-Location 3,Yerevan,INV-224
NXY204303,2022-09-02,1.3,7800.0,F,G-Location 4,Yerevan,INV-225
OFC238514,2022-09-02,4.06,22330.0,F,G-Location 3,Yerevan,INV-226
XUU266356,2022-09-02,0.66,5280.0,M,G-Location 5,Yerevan,INV-227
NVI334397,2022-09-02,2.88,17280.0,M,G-Location 4,Yerevan,INV-228
TRR602368,2022-09-02,6.96,55680.0,F,G-Location 1,Yerevan,INV-229
DWD461553,2022-09-02,2.03,16239.999999999998,M,G-Location 5,Yerevan,INV-230
XHL504880,2022-09-02,0.85,6800.0,M,G-Location 4,Yerevan,INV-231
FCE278779,2022-09-02,6.78,40680.0,M,G-Location 3,Yerevan,INV-232
UEN796425,2022-09-02,6.64,39840.0,F,G-Location 3,Yerevan,INV-233
JGQ238585,2022-09-02,5.74,28700.0,F,G-Location 2,Yerevan,INV-234
KYM533521,2022-09-02,7.91,51415.0,M,G-Location 1,Yerevan,INV-235
RFU427866,2022-09-02,6.85,37675.0,F,G-Location 1,Yerevan,INV-236
GPD275669,2022-09-02,5.07,25350.0,M,G-Location 5,Yerevan,INV-237
VVB957840,2022-09-02,7.62,15240.0,F,G-Location 2,Yerevan,INV-238
RFU427866,2022-09-02,6.06,36360.0,M,G-Location 3,Yerevan,INV-239
VBP326613,2022-09-02,5.92,11840.0,M,G-Location 2,Yerevan,INV-240
EFZ474560,2022-09-02,6.48,12960.0,F,G-Location 2,Yerevan,INV-241
XAV609194,2022-09-02,7.48,18700.0,F,G-Location 2,Yerevan,INV-242
ELT201273,2022-09-02,3.86,21230.0,F,G-Location 4,Yerevan,INV-243
GHD600430,2022-09-02,5.49,27450.0,F,G-Location 1,Yerevan,INV-244
VBP326613,2022-09-02,0.13,715.0,F,G-Location 3,Yerevan,INV-245
XYA836290,2022-09-02,1.62,8100.000000000001,M,G-Location 2,Yerevan,INV-246
AHM324187,2022-09-02,0.57,2849.9999999999995,M,G-Location 5,Yerevan,INV-247
OGV772540,2022-09-02,4.58,9160.0,F,G-Location 3,Yerevan,INV-248
XBT369522,2022-09-02,6.8,37400.0,F,G-Location 2,Yerevan,INV-249
JJK901852,2022-09-02,3.3,18150.0,M,G-Location 2,Yerevan,INV-250
WKV179529,2022-09-02,1.72,4300.0,F,G-Location 5,Yerevan,INV-251
JPM977133,2022-09-02,2.56,5120.0,F,G-Location 1,Yerevan,INV-252
AYD440566,2022-09-02,2.33,4660.0,M,G-Location 2,Yerevan,INV-253
MBA274150,2022-09-02,0.83,4980.0,M,G-Location 5,Yerevan,INV-254
LJB184817,2022-09-02,5.93,35580.0,F,G-Location 4,Yerevan,INV-255
IGA896168,2022-09-02,5.33,31980.0,F,G-Location 4,Yerevan,INV-256
JPH506792,2022-09-02,4.39,10975.0,M,G-Location 3,Yerevan,INV-257
ZMK764440,2022-09-02,2.31,11550.0,M,G-Location 2,Yerevan,INV-258
OPL180790,2022-09-02,2.42,6050.0,M,G-Location 2,Yerevan,INV-259
PKH672390,2022-09-02,7.11,39105.0,M,G-Location 3,Yerevan,INV-260
QPQ801078,2022-09-02,7.68,15360.0,M,G-Location 1,Yerevan,INV-261
ADY744605,2022-09-02,4.5,27000.0,M,G-Location 3,Yerevan,INV-262
PKF240886,2022-09-02,2.06,11330.0,M,G-Location 4,Yerevan,INV-263
ONT504927,2022-09-02,2.32,15079.999999999998,M,G-Location 5,Yerevan,INV-264
IDR413135,2022-09-02,5.77,14424.999999999998,F,G-Location 5,Yerevan,INV-265
OSE163149,2022-09-02,1.5,8250.0,F,G-Location 5,Yerevan,INV-266
SJF937445,2022-09-02,4.86,29160.000000000004,M,G-Location 4,Yerevan,INV-267
JAD277523,2022-09-02,2.45,19600.0,M,G-Location 1,Yerevan,INV-268
NXY204303,2022-09-02,7.49,37450.0,F,G-Location 3,Yerevan,INV-269
GXD536266,2022-09-02,4.51,22550.0,M,G-Location 3,Yerevan,INV-270
FMR509017,2022-09-02,6.59,39540.0,F,G-Location 3,Yerevan,INV-271
HHG792027,2022-09-02,7.0,17500.0,F,G-Location 3,Yerevan,INV-272
POA416951,2022-09-02,5.63,36595.0,M,G-Location 4,Yerevan,INV-273
UZJ761714,2022-09-02,0.86,1720.0,M,G-Location 2,Yerevan,INV-274
DLU311957,2022-09-02,5.05,27775.0,F,G-Location 3,Yerevan,INV-275
LRX488229,2022-09-02,0.99,2475.0,M,G-Location 5,Yerevan,INV-276
DEH148616,2022-09-02,6.58,39480.0,F,G-Location 2,Yerevan,INV-277
ZLD324889,2022-09-02,5.72,11440.0,M,G-Location 4,Yerevan,INV-278
RVB298974,2022-09-02,0.3,1800.0,F,G-Location 5,Yerevan,INV-279
ZJF744789,2022-09-02,1.88,12220.0,F,G-Location 1,Yerevan,INV-280
PAP993533,2022-09-02,1.49,8940.0,M,G-Location 4,Yerevan,INV-281
TXA435445,2022-09-02,2.07,11385.0,M,G-Location 3,Yerevan,INV-282
RQL536819,2022-09-02,2.12,10600.0,M,G-Location 1,Yerevan,INV-283
EME332558,2022-09-02,6.53,16325.0,M,G-Location 3,Yerevan,INV-284
VLP635285,2022-09-02,4.82,31330.000000000004,M,G-Location 3,Yerevan,INV-285
JDJ809663,2022-09-02,3.64,9100.0,M,G-Location 5,Yerevan,INV-286
GLU745795,2022-09-02,2.93,23440.0,M,G-Location 4,Yerevan,INV-287
YZN170575,2022-09-02,4.89,26895.0,M,G-Location 5,Yerevan,INV-288
NRT112294,2022-09-02,4.09,20450.0,F,G-Location 2,Yerevan,INV-289
JCR850939,2022-09-02,0.58,1450.0,F,G-Location 2,Yerevan,INV-290
NLP760137,2022-09-02,5.68,28400.0,F,G-Location 2,Yerevan,INV-291
JGN504951,2022-09-02,0.98,1960.0,M,G-Location 3,Yerevan,INV-292
ILS586026,2022-09-02,1.08,2700.0,M,G-Location 5,Yerevan,INV-293
MEE173667,2022-09-02,7.81,46860.0,F,G-Location 3,Yerevan,INV-294
XFE779855,2022-09-02,4.03,32240.000000000004,M,G-Location 4,Yerevan,INV-295
YHH500691,2022-09-02,2.11,11605.0,F,G-Location 2,Yerevan,INV-296
MHF513768,2022-09-02,7.57,60560.0,F,G-Location 4,Yerevan,INV-297
VGN119155,2022-09-02,7.9,43450.0,F,G-Location 2,Yerevan,INV-298
ZUC559250,2022-09-02,7.1,39050.0,F,G-Location 1,Yerevan,INV-299
GUG501450,2022-09-02,4.41,26460.0,F,G-Location 2,Yerevan,INV-300
VMC905113,2022-09-03,1.0,2000.0,F,G-Location 4,Yerevan,INV-301
UOH761212,2022-09-03,4.85,38800.0,F,G-Location 1,Yerevan,INV-302
BSR434672,2022-09-03,6.0,12000.0,F,G-Location 3,Yerevan,INV-303
DRN538974,2022-09-03,3.97,25805.0,M,G-Location 2,Yerevan,INV-304
TGS205263,2022-09-03,7.65,38250.0,F,G-Location 1,Yerevan,INV-305
PSR310193,2022-09-03,0.19,380.0,F,G-Location 4,Yerevan,INV-306
PGV723476,2022-09-03,7.02,45630.0,F,G-Location 3,Yerevan,INV-307
FJP749580,2022-09-03,5.91,38415.0,M,G-Location 4,Yerevan,INV-308
SUG410350,2022-09-03,0.19,1045.0,F,G-Location 4,Yerevan,INV-309
DIA433281,2022-09-03,2.94,14700.0,M,G-Location 4,Yerevan,INV-310
TFS265734,2022-09-03,7.79,46740.0,F,G-Location 4,Yerevan,INV-311
MKO782073,2022-09-03,1.26,8190.0,F,G-Location 5,Yerevan,INV-312
OSK507920,2022-09-03,1.48,3700.0,M,G-Location 4,Yerevan,INV-313
WNQ763934,2022-09-03,3.12,6240.0,F,G-Location 2,Yerevan,INV-314
CHO530269,2022-09-03,2.86,17160.0,M,G-Location 4,Yerevan,INV-315
KCN351903,2022-09-03,5.22,10440.0,M,G-Location 4,Yerevan,INV-316
GLF981448,2022-09-03,2.73,17745.0,M,G-Location 4,Yerevan,INV-317
DKJ815708,2022-09-03,0.75,1500.0,F,G-Location 4,Yerevan,INV-318
EBD960730,2022-09-03,0.83,1660.0,F,G-Location 2,Yerevan,INV-319
XII945761,2022-09-03,2.65,5300.0,F,G-Location 5,Yerevan,INV-320
NBE227365,2022-09-03,0.95,2375.0,M,G-Location 4,Yerevan,INV-321
GZB122662,2022-09-03,3.35,20100.0,M,G-Location 3,Yerevan,INV-322
AQO460262,2022-09-03,4.58,36640.0,F,G-Location 1,Yerevan,INV-323
LDH282885,2022-09-03,5.3,29150.0,M,G-Location 2,Yerevan,INV-324
CPF624854,2022-09-03,1.37,10960.0,F,G-Location 5,Yerevan,INV-325
HZF565848,2022-09-03,3.35,18425.0,F,G-Location 5,Yerevan,INV-326
BSR434672,2022-09-03,2.44,15860.0,M,G-Location 1,Yerevan,INV-327
GQB969648,2022-09-03,7.14,46410.0,F,G-Location 1,Yerevan,INV-328
YYO714952,2022-09-03,6.66,16650.0,F,G-Location 3,Yerevan,INV-329
SHR840225,2022-09-03,1.5,3750.0,F,G-Location 1,Yerevan,INV-330
WDO200846,2022-09-03,6.22,12440.0,F,G-Location 5,Yerevan,INV-331
ZSC455936,2022-09-03,1.93,10615.0,M,G-Location 5,Yerevan,INV-332
XEV800082,2022-09-03,5.55,11100.0,F,G-Location 3,Yerevan,INV-333
LPX242321,2022-09-03,1.08,6480.0,F,G-Location 4,Yerevan,INV-334
XJS172074,2022-09-03,2.62,15720.0,F,G-Location 1,Yerevan,INV-335
DNS681659,2022-09-03,1.71,10260.0,F,G-Location 2,Yerevan,INV-336
XQL834885,2022-09-03,7.65,38250.0,M,G-Location 1,Yerevan,INV-337
PVI242524,2022-09-03,4.38,21900.0,M,G-Location 5,Yerevan,INV-338
ZGV934805,2022-09-03,5.14,30840.0,F,G-Location 1,Yerevan,INV-339
TKY597084,2022-09-03,1.98,11880.0,F,G-Location 2,Yerevan,INV-340
QGF894875,2022-09-03,3.76,22560.0,F,G-Location 4,Yerevan,INV-341
HZF565848,2022-09-03,2.31,18480.0,F,G-Location 4,Yerevan,INV-342
TFS265734,2022-09-03,2.7,17550.0,F,G-Location 5,Yerevan,INV-343
ANN917682,2022-09-03,6.99,45435.0,F,G-Location 2,Yerevan,INV-344
RHV777431,2022-09-03,3.92,25480.0,M,G-Location 1,Yerevan,INV-345
ZPG592950,2022-09-03,2.65,14575.0,M,G-Location 1,Yerevan,INV-346
OGX985772,2022-09-03,1.82,10920.0,F,G-Location 1,Yerevan,INV-347
PBB996663,2022-09-03,0.57,2849.9999999999995,M,G-Location 3,Yerevan,INV-348
SET891219,2022-09-03,6.43,32150.0,F,G-Location 1,Yerevan,INV-349
LLL116049,2022-09-03,4.31,25860.0,M,G-Location 3,Yerevan,INV-350
XJS172074,2022-09-03,4.87,26785.0,F,G-Location 4,Yerevan,INV-351
KSA275596,2022-09-03,5.58,11160.0,F,G-Location 5,Yerevan,INV-352
DRF634534,2022-09-03,2.72,5440.0,F,G-Location 2,Yerevan,INV-353
IQY729233,2022-09-03,6.1,36600.0,M,G-Location 2,Yerevan,INV-354
IWS664718,2022-09-03,2.07,13454.999999999998,F,G-Location 3,Yerevan,INV-355
WMU306393,2022-09-03,4.08,20400.0,F,G-Location 5,Yerevan,INV-356
JDJ809663,2022-09-03,0.58,3770.0,M,G-Location 2,Yerevan,INV-357
HOE253316,2022-09-03,5.42,10840.0,F,G-Location 4,Yerevan,INV-358
XIO436440,2022-09-03,3.59,28720.0,M,G-Location 4,Yerevan,INV-359
FHT766718,2022-09-03,1.19,6545.0,F,G-Location 3,Yerevan,INV-360
DLY336709,2022-09-03,4.56,22800.0,F,G-Location 3,Yerevan,INV-361
ZOT780704,2022-09-03,5.62,44960.0,M,G-Location 4,Yerevan,INV-362
RIJ888946,2022-09-03,5.06,12649.999999999998,F,G-Location 3,Yerevan,INV-363
OVN461937,2022-09-03,2.0,16000.0,M,G-Location 5,Yerevan,INV-364
PQL255211,2022-09-03,5.64,14100.0,M,G-Location 4,Yerevan,INV-365
VZH853708,2022-09-03,7.55,49075.0,F,G-Location 1,Yerevan,INV-366
GZR758077,2022-09-03,7.46,44760.0,F,G-Location 1,Yerevan,INV-367
FGU113123,2022-09-03,6.09,39585.0,F,G-Location 5,Yerevan,INV-368
TOZ944692,2022-09-03,4.6,11500.0,F,G-Location 3,Yerevan,INV-369
UZJ761714,2022-09-03,1.85,4625.0,M,G-Location 3,Yerevan,INV-370
WYP812426,2022-09-03,3.48,20880.0,M,G-Location 5,Yerevan,INV-371
DHU148547,2022-09-03,2.88,7200.0,F,G-Location 4,Yerevan,INV-372
MHV671658,2022-09-03,0.65,5200.0,M,G-Location 2,Yerevan,INV-373
FTZ517348,2022-09-03,6.34,41210.0,M,G-Location 2,Yerevan,INV-374
NUT441170,2022-09-03,2.03,5074.999999999999,M,G-Location 4,Yerevan,INV-375
UFE842214,2022-09-03,7.96,51740.0,F,G-Location 5,Yerevan,INV-376
IHG812065,2022-09-03,5.08,40640.0,M,G-Location 3,Yerevan,INV-377
YHK376261,2022-09-03,1.37,3425.0000000000005,F,G-Location 3,Yerevan,INV-378
CKJ949457,2022-09-03,5.92,32560.0,M,G-Location 1,Yerevan,INV-379
HEP996865,2022-09-03,2.75,13750.0,F,G-Location 5,Yerevan,INV-380
AUK173688,2022-09-03,3.44,27520.0,F,G-Location 4,Yerevan,INV-381
NIB841072,2022-09-03,6.22,49760.0,M,G-Location 3,Yerevan,INV-382
JIO312658,2022-09-03,7.52,37600.0,F,G-Location 1,Yerevan,INV-383
KCE898823,2022-09-03,1.73,13840.0,M,G-Location 2,Yerevan,INV-384
SGA316919,2022-09-03,7.99,47940.0,F,G-Location 5,Yerevan,INV-385
LID229655,2022-09-03,2.73,6825.0,F,G-Location 4,Yerevan,INV-386
JDJ809663,2022-09-03,1.96,11760.0,M,G-Location 5,Yerevan,INV-387
UOQ623696,2022-09-03,5.12,40960.0,M,G-Location 5,Yerevan,INV-388
TPM445749,2022-09-03,5.13,33345.0,F,G-Location 3,Yerevan,INV-389
KSG963786,2022-09-03,6.21,37260.0,M,G-Location 5,Yerevan,INV-390
QPJ627993,2022-09-03,5.98,11960.0,M,G-Location 3,Yerevan,INV-391
NME398993,2022-09-03,0.53,3445.0,M,G-Location 2,Yerevan,INV-392
TDR620645,2022-09-03,2.52,5040.0,M,G-Location 4,Yerevan,INV-393
TXB373754,2022-09-03,4.94,29640.000000000004,M,G-Location 4,Yerevan,INV-394
QNC405551,2022-09-03,0.27,2160.0,F,G-Location 4,Yerevan,INV-395
MCY811715,2022-09-03,7.19,14380.0,F,G-Location 3,Yerevan,INV-396
ZJK633784,2022-09-03,3.21,16050.0,F,G-Location 5,Yerevan,INV-397
TFG320229,2022-09-03,5.43,13575.0,F,G-Location 4,Yerevan,INV-398
UKL610477,2022-09-03,4.54,27240.0,M,G-Location 3,Yerevan,INV-399
WSS471105,2022-09-03,0.86,4730.0,M,G-Location 4,Yerevan,INV-400
ZMK587223,2022-09-04,0.41,1025.0,M,G-Location 4,Yerevan,INV-401
FDL133876,2022-09-04,4.36,26160.000000000004,F,G-Location 3,Yerevan,INV-402
GTZ580316,2022-09-04,5.66,31130.0,F,G-Location 2,Yerevan,INV-403
KLK855321,2022-09-04,1.29,7095.0,F,G-Location 4,Yerevan,INV-404
DEH148616,2022-09-04,7.3,43800.0,F,G-Location 5,Yerevan,INV-405
FJX974451,2022-09-04,7.28,14560.0,M,G-Location 5,Yerevan,INV-406
TDE159809,2022-09-04,7.12,17800.0,F,G-Location 5,Yerevan,INV-407
OVN461937,2022-09-04,7.59,60720.0,M,G-Location 1,Yerevan,INV-408
DDY123602,2022-09-04,4.03,24180.0,M,G-Location 3,Yerevan,INV-409
ANN917682,2022-09-04,3.16,7900.0,M,G-Location 5,Yerevan,INV-410
BLN715959,2022-09-04,2.98,7450.0,M,G-Location 3,Yerevan,INV-411
LTV508044,2022-09-04,3.49,17450.0,M,G-Location 3,Yerevan,INV-412
LJN443871,2022-09-04,3.55,21300.0,M,G-Location 4,Yerevan,INV-413
RDP594310,2022-09-04,3.83,7660.0,F,G-Location 1,Yerevan,INV-414
ZJF744789,2022-09-04,2.72,5440.0,M,G-Location 5,Yerevan,INV-415
EHE804589,2022-09-04,7.4,48100.0,F,G-Location 3,Yerevan,INV-416
EHE804589,2022-09-04,4.24,27560.0,M,G-Location 3,Yerevan,INV-417
OUI196473,2022-09-04,2.97,19305.0,M,G-Location 2,Yerevan,INV-418
PKE560821,2022-09-04,7.87,43285.0,F,G-Location 5,Yerevan,INV-419
WCS539988,2022-09-04,3.42,17100.0,F,G-Location 3,Yerevan,INV-420
ORR843404,2022-09-04,3.11,17105.0,M,G-Location 1,Yerevan,INV-421
GTQ589388,2022-09-04,0.18,1440.0,M,G-Location 2,Yerevan,INV-422
HZJ384560,2022-09-04,5.8,11600.0,M,G-Location 3,Yerevan,INV-423
EWY776547,2022-09-04,3.3,18150.0,F,G-Location 1,Yerevan,INV-424
KGE585650,2022-09-04,4.46,35680.0,M,G-Location 5,Yerevan,INV-425
LCZ741719,2022-09-04,7.33,47645.0,M,G-Location 1,Yerevan,INV-426
KLQ896383,2022-09-04,7.11,35550.0,M,G-Location 4,Yerevan,INV-427
RAI994683,2022-09-04,4.51,27060.0,F,G-Location 2,Yerevan,INV-428
